kingdom,phylum,order,family,genus,species,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii,1,44,538,7332,2346676,4284072,NA,NA,Clupea pallasii
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Oncorhynchus nerka,1,44,1313,8615,2351426,5204039,NA,NA,Oncorhynchus nerka
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,Glyptocephalus zachirus,1,44,588,8611,2409281,5214001,NA,NA,Glyptocephalus zachirus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus stelleri,Glyptocephalus stelleri,1,44,588,8611,2409281,5213991,NA,NA,Glyptocephalus stelleri
Animalia,Chordata,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,1,44,1068,8480,2410910,5214420,NA,NA,Mallotus villosus
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch,1,44,1313,8615,2351426,5204034,NA,NA,Oncorhynchus kisutch
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,1,44,538,7332,2346676,8351946,NA,NA,Clupea harengus
Animalia,Chordata,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,Phytichthys chirus,1,44,587,8598,2394820,2394821,NA,NA,Phytichthys chirus
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa fallax,Alosa fallax,1,44,538,7332,2412615,2412623,NA,NA,Alosa fallax
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,Alosa sapidissima,1,44,538,7332,2412615,2412661,NA,NA,Alosa sapidissima
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,Sebastes alutus,1,44,590,8633,2333712,2335557,NA,NA,Sebastes alutus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes cheni,Sebastes cheni,1,44,590,8633,2333712,4286373,NA,NA,Sebastes cheni
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,Sebastes joyneri,1,44,590,8633,2333712,2335451,NA,NA,Sebastes joyneri
